timestamp,message_type,src_system,src_component,payload_json
1776972286.5802393,AHRS2,1,1,"{""mavpackettype"": ""AHRS2"", ""roll"": -0.0015823089051991701, ""pitch"": -0.0017832430312409997, ""yaw"": 0.00294780102558434, ""altitude"": 0.09999999403953552, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.580791,ATTITUDE,1,1,"{""mavpackettype"": ""ATTITUDE"", ""time_boot_ms"": 1685724, ""roll"": -0.0011761868372559547, ""pitch"": -0.0013778925640508533, ""yaw"": -0.013976787216961384, ""rollspeed"": -0.0003196838079020381, ""pitchspeed"": -0.0002856882056221366, ""yawspeed"": -0.0007161498069763184}"
1776972286.5811524,VFR_HUD,1,1,"{""mavpackettype"": ""VFR_HUD"", ""airspeed"": 0.9380506873130798, ""groundspeed"": 0.027676813304424286, ""heading"": 359, ""throttle"": 0, ""alt"": 0.09999999403953552, ""climb"": 0.0058488911017775536}"
1776972286.5814936,SIMSTATE,1,1,"{""mavpackettype"": ""SIMSTATE"", ""roll"": 0.0, ""pitch"": 0.0, ""yaw"": 0.00010003882925957441, ""xacc"": -3.176373552203626e-20, ""yacc"": 1.0932397300569183e-23, ""zacc"": -9.806650161743164, ""xgyro"": 0.0, ""ygyro"": 0.0, ""zgyro"": 4.3655745685100555e-09, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.581835,AOA_SSA,1,1,"{""mavpackettype"": ""AOA_SSA"", ""time_usec"": 1685724607, ""AOA"": 0.0, ""SSA"": 0.0}"
1776972286.5821614,ESC_TELEMETRY_1_TO_4,1,1,"{""mavpackettype"": ""ESC_TELEMETRY_1_TO_4"", ""temperature"": [0, 0, 32, 0], ""voltage"": [0, 0, 1679, 0], ""current"": [0, 0, 80, 0], ""totalcurrent"": [0, 0, 1, 0], ""rpm"": [0, 0, 0, 0], ""count"": [0, 0, 18451, 0]}"
1776972286.8301182,AHRS,1,1,"{""mavpackettype"": ""AHRS"", ""omegaIx"": -0.0018881652504205704, ""omegaIy"": -0.001943662646226585, ""omegaIz"": -0.0023634014651179314, ""accel_weight"": 0.0, ""renorm_val"": 0.0, ""error_rp"": 0.002379130106419325, ""error_yaw"": 0.0014586517354473472}"
1776972286.8305385,GLOBAL_POSITION_INT,1,1,"{""mavpackettype"": ""GLOBAL_POSITION_INT"", ""time_boot_ms"": 1685964, ""lat"": -353633515, ""lon"": 1491652411, ""alt"": 100, ""relative_alt"": 9, ""vx"": 1, ""vy"": -1, ""vz"": 0, ""hdg"": 35920}"
1776972286.8308063,SYS_STATUS,1,1,"{""mavpackettype"": ""SYS_STATUS"", ""onboard_control_sensors_present"": 325188671, ""onboard_control_sensors_enabled"": 308379711, ""onboard_control_sensors_health"": 326205503, ""load"": 0, ""voltage_battery"": 12600, ""current_battery"": 0, ""battery_remaining"": 99, ""drop_rate_comm"": 0, ""errors_comm"": 0, ""errors_count1"": 0, ""errors_count2"": 0, ""errors_count3"": 0, ""errors_count4"": 0}"
1776972286.8310459,POWER_STATUS,1,1,"{""mavpackettype"": ""POWER_STATUS"", ""Vcc"": 5000, ""Vservo"": 0, ""flags"": 0}"
1776972286.8312328,MEMINFO,1,1,"{""mavpackettype"": ""MEMINFO"", ""brkval"": 0, ""freemem"": 65535, ""freemem32"": 524288}"
1776972286.8314095,MISSION_CURRENT,1,1,"{""mavpackettype"": ""MISSION_CURRENT"", ""seq"": 0, ""total"": 0, ""mission_state"": 1, ""mission_mode"": 0}"
1776972286.8315995,SERVO_OUTPUT_RAW,1,1,"{""mavpackettype"": ""SERVO_OUTPUT_RAW"", ""time_usec"": 1685964511, ""port"": 0, ""servo1_raw"": 1500, ""servo2_raw"": 1500, ""servo3_raw"": 1000, ""servo4_raw"": 1500, ""servo5_raw"": 0, ""servo6_raw"": 0, ""servo7_raw"": 0, ""servo8_raw"": 0, ""servo9_raw"": 0, ""servo10_raw"": 0, ""servo11_raw"": 0, ""servo12_raw"": 0, ""servo13_raw"": 0, ""servo14_raw"": 0, ""servo15_raw"": 0, ""servo16_raw"": 0}"
1776972286.831805,RC_CHANNELS,1,1,"{""mavpackettype"": ""RC_CHANNELS"", ""time_boot_ms"": 1685964, ""chancount"": 8, ""chan1_raw"": 1500, ""chan2_raw"": 1500, ""chan3_raw"": 1000, ""chan4_raw"": 1500, ""chan5_raw"": 1800, ""chan6_raw"": 1000, ""chan7_raw"": 1000, ""chan8_raw"": 1800, ""chan9_raw"": 0, ""chan10_raw"": 0, ""chan11_raw"": 0, ""chan12_raw"": 0, ""chan13_raw"": 0, ""chan14_raw"": 0, ""chan15_raw"": 0, ""chan16_raw"": 0, ""chan17_raw"": 0, ""chan18_raw"": 0, ""rssi"": 255}"
1776972286.8320105,RAW_IMU,1,1,"{""mavpackettype"": ""RAW_IMU"", ""time_usec"": 1685964511, ""xacc"": 0, ""yacc"": 0, ""zacc"": -1001, ""xgyro"": 1, ""ygyro"": 1, ""zgyro"": 1, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""id"": 0, ""temperature"": 4492}"
1776972286.8321888,SCALED_IMU2,1,1,"{""mavpackettype"": ""SCALED_IMU2"", ""time_boot_ms"": 1685964, ""xacc"": 0, ""yacc"": 0, ""zacc"": -1000, ""xgyro"": 1, ""ygyro"": 1, ""zgyro"": 1, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""temperature"": 4492}"
1776972286.832358,SCALED_IMU3,1,1,"{""mavpackettype"": ""SCALED_IMU3"", ""time_boot_ms"": 1685964, ""xacc"": 0, ""yacc"": 0, ""zacc"": 0, ""xgyro"": 0, ""ygyro"": 0, ""zgyro"": 0, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""temperature"": 0}"
1776972286.832553,SCALED_PRESSURE,1,1,"{""mavpackettype"": ""SCALED_PRESSURE"", ""time_boot_ms"": 1685964, ""press_abs"": 1013.2564697265625, ""press_diff"": 0.008771972730755806, ""temperature"": 3500, ""temperature_press_diff"": 0}"
1776972286.832817,SCALED_PRESSURE2,1,1,"{""mavpackettype"": ""SCALED_PRESSURE2"", ""time_boot_ms"": 1685964, ""press_abs"": 1013.2567749023438, ""press_diff"": 0.0, ""temperature"": 3500, ""temperature_press_diff"": 0}"
1776972286.8330271,GPS_RAW_INT,1,1,"{""mavpackettype"": ""GPS_RAW_INT"", ""time_usec"": 1685828000, ""fix_type"": 6, ""lat"": -353633516, ""lon"": 1491652412, ""alt"": 100, ""eph"": 121, ""epv"": 200, ""vel"": 0, ""cog"": 17999, ""satellites_visible"": 10, ""alt_ellipsoid"": 100, ""h_acc"": 300, ""v_acc"": 300, ""vel_acc"": 0, ""hdg_acc"": 0, ""yaw"": 0}"
1776972286.8332193,SYSTEM_TIME,1,1,"{""mavpackettype"": ""SYSTEM_TIME"", ""time_unix_usec"": 1776972285936448, ""time_boot_ms"": 1685964}"
1776972286.8333893,WIND,1,1,"{""mavpackettype"": ""WIND"", ""direction"": -180.0, ""speed"": 0.0, ""speed_z"": 0.0}"
1776972286.8335507,TERRAIN_REPORT,1,1,"{""mavpackettype"": ""TERRAIN_REPORT"", ""lat"": -353633515, ""lon"": 1491652411, ""spacing"": 100, ""terrain_height"": 586.3452758789062, ""current_height"": -586.2453002929688, ""pending"": 0, ""loaded"": 504}"
